portfolio,hist_var_95_1d,hist_es_95_1d,hist_var_99_1d,hist_es_99_1d,param_var_99_1d,param_es_99_1d,mc_var_99_10d,mc_es_99_10d
Equal weight,0.01126306256855392,0.016399379366446695,0.01987493516513653,0.026621158148713835,0.016412569091569462,0.01885635408889812,0.04836182541320796,0.056199284176601715
Inverse volatility,0.006699832111048824,0.009656644786213692,0.010860417220355901,0.014935349619923191,0.009568831013105933,0.010999722647165101,0.0275873208689229,0.032223777305870546
Risk parity,0.004372372019474702,0.006851638345068556,0.007653862719425482,0.01154249313749452,0.006645138769969354,0.007650341556862328,0.0193696328714621,0.02271370856577082
Minimum variance,0.003672939100973812,0.005358667828311277,0.006191304756949859,0.008027700049837211,0.005384636717845845,0.006196393213719124,0.01674110049738597,0.01951278766548018
Max Sharpe,0.004155320183202493,0.0074233066983096,0.009662563432281106,0.013204689621441492,0.006905355906083275,0.007965223334132797,0.019966094183080988,0.023586866130925945
