date,SPY,EFA,TLT,LQD,GLD,USO,UUP,BTC-USD
2021-05-28,392.3101806640625,69.19850158691406,117.24803924560547,108.74871826171875,178.3800048828125,45.41999816894531,20.880083084106445,35697.60546875
2021-06-01,391.9647216796875,69.44678497314453,117.2218017578125,108.76280975341797,177.89999389648438,46.33000183105469,20.845596313476562,36684.92578125
2021-06-02,392.5810546875,69.67792510986328,117.49314880371094,108.9365234375,178.77000427246094,46.900001525878906,20.845596313476562,37575.1796875
2021-06-03,391.1240539550781,69.3354721069336,117.0521469116211,108.5063247680664,175.27000427246094,46.970001220703125,20.97491455078125,39208.765625
2021-06-04,394.7012023925781,69.92618560791016,118.65510559082031,109.27567291259766,177.16000366210938,47.2599983215332,20.89732551574707,36894.40625
2021-06-07,394.31817626953125,70.1573257446289,118.29045867919922,109.18470764160156,177.8699951171875,47.27000045776367,20.86284065246582,33560.70703125
2021-06-08,394.40234375,70.12310028076172,119.12157440185547,109.59830474853516,177.32000732421875,47.880001068115234,20.888702392578125,33472.6328125
2021-06-09,393.81390380859375,69.93473815917969,120.17327117919922,109.99542999267578,176.97999572753906,47.58000183105469,20.905946731567383,37345.12109375
2021-06-10,395.64459228515625,70.12739562988281,120.89421081542969,110.49176788330078,177.74000549316406,47.83000183105469,20.888702392578125,36702.59765625
2021-06-11,396.29833984375,70.29228210449219,120.69913482666016,110.58280944824219,175.74000549316406,48.06999969482422,20.992155075073242,37334.3984375
2021-06-14,397.18560791015625,70.41377258300781,119.77465057373047,110.17744445800781,174.7100067138672,48.31999969482422,20.97491455078125,40218.4765625
2021-06-15,396.45709228515625,70.50054931640625,119.63050842285156,110.26014709472656,174.0500030517578,48.97999954223633,20.992155075073242,40406.26953125
2021-06-16,394.24346923828125,70.066650390625,119.52867889404297,109.94578552246094,171.11000061035156,48.75,21.164575576782227,38347.0625
2021-06-17,394.1127624511719,69.58069610595703,121.31828308105469,110.55797576904297,165.85000610351562,48.040000915527344,21.3283748626709,38053.50390625
2021-06-18,388.79608154296875,68.14012145996094,123.59976196289062,111.13710021972656,164.92999267578125,48.36000061035156,21.3973445892334,35787.24609375
2021-06-21,394.362060546875,69.03397369384766,121.53028869628906,110.49176788330078,166.9499969482422,49.36000061035156,21.29388999938965,31676.693359375
2021-06-22,396.4703674316406,69.04263305664062,121.82717895507812,110.67378997802734,166.25,49.41999816894531,21.25940704345703,32505.66015625
2021-06-23,395.99249267578125,68.60005950927734,121.51335144042969,110.50009155273438,166.13999938964844,49.720001220703125,21.29388999938965,33723.02734375
2021-06-24,398.3350830078125,69.25959777832031,121.70842742919922,110.71516418457031,166.0399932861328,49.84000015258789,21.276649475097656,34662.4375
2021-06-25,399.75,69.40711975097656,120.44468688964844,110.4255599975586,166.58999633789062,50.25,21.2852725982666,31637.779296875
2021-06-28,400.5558166503906,68.96454620361328,121.6829833984375,110.8971939086914,166.5800018310547,49.540000915527344,21.29388999938965,34434.3359375
2021-06-29,400.7713928222656,68.98188781738281,121.88655853271484,111.02952575683594,164.8300018310547,49.88999938964844,21.345617294311523,35867.77734375
2021-06-30,401.1087951660156,68.45252990722656,122.42939758300781,111.15361785888672,165.6300048828125,49.880001068115234,21.405961990356445,35040.8359375
2021-07-01,403.32952880859375,68.6174087524414,122.4361572265625,111.05667114257812,166.1999969482422,50.619998931884766,21.466310501098633,33572.1171875
