date,SPY,EFA,TLT,LQD,GLD,USO,UUP,BTC-USD
2021-06-01,-0.00088096407442115,0.003581566424616836,-0.0002238026672445421,0.00012957006782601647,-0.0026945732480542135,0.019837242586995457,-0.0016530241798661926,0.02728231619618182
2021-06-02,0.0015711846349042672,0.0033227792423980744,0.002312142163372237,0.0015959049428888078,0.004878526963101577,0.012227969036399085,0.0,0.02397778870231388
2021-06-03,-0.003718241453268449,-0.004926916434321941,-0.003760488228413959,-0.003956894736119645,-0.019772420864664846,0.0014914180409343815,0.006184460534194342,0.042556616951370016
2021-06-04,0.009104245802526872,0.008483556113079695,0.013601477039063836,0.0070653346295213625,0.010725633264657355,0.006155110215271782,-0.0037059934560004265,-0.06084038726712561
2021-06-07,-0.0009708916244466066,0.003300036446135685,-0.0030778985090246396,-0.0008327851120885563,0.003999619209610979,0.00021161824599503278,-0.0016515677155579129,-0.09470399835993078
2021-06-08,0.00021342789657892674,-0.00048795780731501423,0.0070014910957628095,0.0037808931792088166,-0.003096867753862795,0.012822048508777403,0.001238840125834817,-0.002627775063457771
2021-06-09,-0.001493092923541212,-0.0026897778410018072,0.008790022587823196,0.003616912636812123,-0.0019193434836643904,-0.006285359639427327,0.0008251936709205764,0.10947410238213756
2021-06-10,0.004637841677716865,0.0027510303748277238,0.005981244584151563,0.004502199980728455,0.004285131517665339,0.005240552616245622,-0.0008251936709205085,-0.017354742993128305
2021-06-11,0.0016509970114504159,0.002348482108119018,-0.0016149122869807291,0.0008236276752118292,-0.011316177890912231,0.005005179582537335,0.004940342636917096,0.017067578415986145
2021-06-14,0.002236386605471277,0.001726869664232078,-0.007688894703782171,-0.0036724495343171903,-0.005878166410042197,0.005187271753536714,-0.000821621591193476,0.07441139422057258
2021-06-15,-0.001835878612477681,0.0012316241982794499,-0.0012041692743841497,0.0007503497023036005,-0.0037848631237422004,0.013566494867255767,0.0008216215911935117,0.004658453327527578
2021-06-16,-0.005599158361044152,-0.0061735640288770035,-0.0008515628114024571,-0.002855161821339751,-0.01703600368035545,-0.00470684473423503,0.008180020626321458,-0.052307031596144006
2021-06-17,-0.00033159321396351713,-0.006959763410114892,0.014861197410686299,0.005552665550203868,-0.03122282591641038,-0.014671181174468589,0.00770951866137795,-0.007684760787668957
2021-06-18,-0.013582073265917613,-0.02092097933368763,0.018631088420946493,0.005224525311615329,-0.005562705142465907,0.006639022098204193,0.0032284903497970686,-0.06140159139173661
2021-06-21,0.014214428533933628,0.013032561059096948,-0.01688509776067008,-0.005823556883677594,0.012173251058176099,0.020467353594847686,-0.004846652637399229,-0.1220103903521807
2021-06-22,0.005331880193374822,0.0001254283836793311,0.0024399531187255176,0.0016460260592499486,-0.00420166857422807,0.0012147715471398123,-0.001620695263438428,0.025833047609393114
2021-06-23,-0.001206049741483679,-0.0064307819663985055,-0.002579329371296985,-0.0015706959592292657,-0.0006618767987564016,0.006052127684481837,0.001620695263438422,0.03676667515561315
2021-06-24,0.005898314990750372,0.009568329327086206,0.0016041000234923424,0.0019444653478705716,-0.0006021199876096117,0.0024105863466912614,-0.0008099744775323477,0.027475699857643344
2021-06-25,0.0035457835379769146,0.0021277207817391557,-0.010437627582624277,-0.0026191860738732425,0.003306999189259349,0.008192669398432578,0.0004052036593680902,-0.09130465397426267
2021-06-28,0.0020137725003196902,-0.00639690291358962,0.010228548463785193,0.004261962375921113,-5.999643961855651e-05,-0.014230104397403666,0.0004047708181643482,0.08470225042447661
2021-06-29,0.0005380478149932056,0.0002514253301864551,0.0016715980172760958,0.0011925726116065424,-0.010561034647227364,0.007040127097218515,0.0024262625710493105,0.040785121124139886
2021-06-30,0.0008415281203241584,-0.00770346375734212,0.004443753508428074,0.00111702546767773,0.004841763592293601,-0.000200427413466966,0.002823041259825106,-0.02332520296585249
2021-07-01,0.0055212170225221215,0.0024057634569549244,5.521106112016707e-05,-0.0008725673585620018,0.0034354496150826534,0.014726591790788236,0.002815271833942263,-0.04281824560087459
2021-07-02,0.0076145262405915865,0.003409082543343785,0.006016094875021238,0.0028317116355646155,0.0065369291506959725,0.006105412872255298,-0.00402406897046298,0.00963202091343982
2021-07-06,-0.0018232736369957548,-0.006575706076443322,0.011653448974666341,0.0036401061369949594,0.004949187883217545,-0.02043111355236838,0.003622372205056794,0.009926319850057335
2021-07-07,0.0035279436598639243,0.005440599076790098,0.008819795735709802,0.0034051733515444932,0.0037995736126820853,-0.02516369911662871,0.0016058198063777604,-0.011157826650301255
2021-07-08,-0.008181401289374623,-0.012954099046714605,0.003909941323316769,0.0005171812939721524,-0.0006520293887520076,0.017519303400777134,-0.004019394874913815,-0.029311778537964177
2021-07-09,0.010618152269523697,0.016858033244387664,-0.014162620264949412,-0.0042188985189798595,0.0033150614410246745,0.017812927447246028,-0.002419146551586319,0.02761736344787324
2021-07-12,0.0035754796680208274,0.004264694087136532,-0.0012971723661613138,-0.0005193000956841042,-0.0012418718351821449,-0.0019856732677942016,0.0012103494150655356,-0.01918287490754947
2021-07-13,-0.003414715945780677,-0.005270552984434874,-0.007682957617195397,-0.0037175415306836086,0.0013009357869861221,0.016558630429281487,0.006030135952227564,-0.013782086425800635
