annual_return,annual_volatility,sharpe,weight_SPY,weight_EFA,weight_TLT,weight_LQD,weight_GLD,weight_USO,weight_UUP,weight_BTC-USD
0.09054273497935558,0.16161538329098926,0.3436723277718596,0.17837614211835057,0.17332959268814652,0.1769332604209774,0.020758858415255422,0.006413074916837146,0.10777766046252024,0.10460962029887755,0.23180179067903528
0.096310123773093,0.07983049979793877,0.7680037570637386,0.013697637026178046,0.1807876378214879,0.012167485115563374,0.188122850088027,0.29907729059180294,0.0668339558602856,0.21274965852471758,0.026563484971937563
0.08341481513180998,0.1216757396562175,0.39790031495679534,0.014636065174897376,0.05037258127092722,0.14403150154817404,0.06600415555723836,0.19935976012403797,0.03573243064050103,0.2937481466980627,0.1961153589861614
0.11540208432742693,0.1979024821104215,0.40627122747538785,0.15913058443139463,0.10120713720701302,0.10999916156318469,0.018702963387557295,0.0435882178457613,0.16629472943314097,0.09431423585404927,0.3067629702778987
0.07783959951337074,0.08315774277612588,0.5151606823756856,0.1820998028086329,0.0611539462673627,0.11851122916906366,0.16489611973981003,0.08837376938238166,0.08273923123402946,0.22590304531843955,0.07632285608028011
0.10339829489570752,0.1007384188679603,0.6789693114536414,0.17159970647437758,0.1789543509151787,0.13948262276591705,0.0093961312827724,0.14591384612133637,0.17425476389848127,0.14436629283185462,0.03603228571008189
0.09453076052434342,0.09015116826251438,0.6603437500775774,0.046486331293961285,0.02400618724007462,0.051328145935456905,0.0030620096685471856,0.024240908602062315,0.19048075553170313,0.57876940955957,0.08162625216862456
0.13286911429777384,0.2877287291039528,0.3401436992494933,0.027181775086527634,0.03806411910740699,0.034579402026290895,0.012405559598256611,0.10367107131750516,0.13166474221242827,0.14429295775047415,0.5081403729011104
0.095580411180778,0.14613338867118408,0.41455557646097196,0.24732031467300555,0.1931060028336052,0.12250510899703869,0.0695618918130299,0.005218813809647116,0.11230444204901219,0.07294990345110089,0.17703352237356043
0.11701490508902569,0.09465785299769562,0.8664352981999527,0.2114022867114801,0.03461541027623347,0.005186098633126616,0.0964050211416051,0.26617272149371574,0.08558988054531523,0.22213306099210292,0.0784955202064208
0.09068071047170664,0.09611591997126978,0.579307886647189,0.3115768692631755,0.06847679526506366,0.03187328456044213,0.03378533706056865,0.027905064181390982,0.01296419816701276,0.4070419750860831,0.10637647641626319
0.08514324923395922,0.10362136317922535,0.48390841131119416,0.06681095680202484,0.1617727797637828,0.03240224008632306,0.3319155060940024,0.22354268479948644,0.056967638368835484,0.034707707820333646,0.0918804862652114
0.10788430316698139,0.1289058096416114,0.5654074348519819,0.02933437198590291,0.007288458575225818,0.04845838105013614,0.2167019486113663,0.0970832755857143,0.29662546172882176,0.19693152175659143,0.10757658070624128
0.11359055284102146,0.1405094961723985,0.5593255614879906,0.27547826929276076,0.10821007448990957,0.15895882530211913,0.05659895079874073,0.03260814882265368,0.3192899613896526,0.020885339289106637,0.02797043061505686
0.1179950746505409,0.10614277268585345,0.781919225873043,0.0418129119505453,0.1303949839616374,0.05577527054404582,0.09225136801263828,0.2910847706136874,0.2077857511546056,0.15785512182890551,0.02303982193393467
0.11110118399889227,0.11210503331647252,0.6788382443458949,0.26917843015737614,0.10285321206867182,0.02800899975338124,0.09039422834610643,0.01596788767037894,0.20709336499049144,0.2199006762677568,0.0666032007458371
0.07992036751408504,0.09251165460190856,0.48556441572020387,0.005188836721026255,0.3089334315812805,0.09143561028699394,0.16843647592367128,0.03993321277568032,0.18975352253369931,0.18577718386269967,0.010541726314948614
0.09562205490685895,0.10631545646626782,0.5702092331804393,0.4896090518641537,0.060718648870982016,0.12599537477546147,0.021967272910509403,0.08868266303192887,0.025802235945038846,0.14548264841380681,0.041742104188118745
0.09158674077200585,0.2016590985957818,0.28060593926104904,0.10713876383161829,0.07261844780236792,0.10362010889378909,0.06494919948231166,0.08429681635518568,0.003949683406428036,0.21830877128891943,0.3451182089393799
0.06751173674970597,0.073661594159977,0.44136618437957675,0.05514715308412452,0.3231306536520412,0.015955486072765417,0.26433061052196793,0.03458607464805354,0.06347188978839524,0.23132987704077349,0.012048255191878663
0.07501246484211332,0.07675565922596071,0.5212966085578233,0.03053245196730929,0.21462785137002197,0.15705130509571602,0.046037105559944544,0.0708789623293637,0.11987745620784584,0.3037107734328939,0.05728409403690486
0.0897758931137821,0.10527571728678647,0.5203089043275245,0.12875854889327096,0.059608508704929786,0.051216063532582755,0.3590699474142849,0.09367156769159857,0.2254220056841637,0.050944105516058574,0.031309252563110776
0.09705777928570171,0.1521903201132591,0.4077642995922388,0.09610516658146526,0.11924340761593476,0.07999341258665615,0.09988606734366606,0.08571105716024813,0.0918608982040247,0.1896753882334866,0.23752460227451846
0.10369152327416552,0.12729467555383714,0.5396260525061285,0.08627312277326414,0.011819675958498373,0.18283868031408368,0.11021809327269469,0.31787474917275144,0.13604436026209168,0.018270347184640028,0.13666097106197603
0.06828841061673398,0.16702335378647126,0.19930392883435386,0.0752231988388342,0.01512968600645558,0.03598580080570495,0.45677567314335404,0.052947432071719834,0.03391492790500659,0.05835860052941573,0.2716646806995092
0.154076880604586,0.1941194979059446,0.6134205058694387,0.22963408053869275,0.04169573660215491,0.001714484306950551,0.09237856843477267,0.031767020691615556,0.436024963592472,0.022479306764925062,0.1443058390684165
0.10106107298977529,0.11399596364313187,0.5795036146769341,0.11183612200583609,0.3154413848048879,0.03192636226498941,0.19077901959833016,0.08393465906239478,0.19014595546525348,0.0393619624634405,0.0365745343348676
0.10451637986058508,0.13396749496841623,0.5189048274506741,0.032856137378071186,0.13568859778712195,0.08444026455382982,0.11257538581805716,0.1667455822608428,0.1500101790489961,0.13587076405166354,0.1818130891014175
0.06111908184156842,0.07224668157556133,0.3615263880909326,0.00523322839942395,0.2286997810716373,0.19761837889989128,0.06666190980170705,0.036430422026083174,0.10798927337065946,0.307837002564126,0.049530003866471765
0.053808367643943866,0.08700190322011167,0.21618340459011998,0.1224591658498094,0.25367409644311656,0.03407528306006978,0.36762565130321806,0.005160187817573461,0.0031770566446662346,0.1586870751842905,0.05514148369725613
0.07353771176930297,0.09578518429789337,0.4023347874912482,0.06231014973317541,0.20143126094733763,0.2544651338719679,0.08474753087163994,0.21658382327592257,0.10389065673841517,0.05155751722620276,0.02501392733533832
0.06005240464210169,0.08161024941803734,0.30697620483640686,0.13821150678867516,0.2149202669922665,0.268026158739113,0.03031841976129764,0.1029785726761598,0.05152980205406633,0.1718580615692637,0.02215721141915809
0.07268661785027936,0.05200226581773241,0.7247110728284551,0.011902839452996621,0.07287801073372686,0.014268178564642967,0.09512817786592369,0.09851575413571693,0.022896248239508376,0.6233926658503816,0.06101812515710287
0.07495891003412705,0.08488960515391689,0.4707161726300397,0.29217150819943905,0.04900268135081492,0.12420722348808651,0.022031543082287202,0.028769211218906108,0.002722393861713069,0.3943657409565555,0.08672969784219747
0.05739563041289347,0.09967962361873817,0.22467611333038232,0.1173767242777214,0.14725570897540782,0.030471951399422305,0.497064711781459,0.09263689284022969,0.012773436539971995,0.018309626532955738,0.08411094765283206
0.12764282134085086,0.19432807688267184,0.47673410259077076,0.030151188382081133,0.07747889308170948,0.1764881110109906,0.009852553799952505,0.08521148162144587,0.3727346088470521,0.017693502686701397,0.23038966057006682
0.113266778072322,0.1176182285529036,0.6654306822612815,0.00452774559926983,0.24025821769879713,0.022804394776499797,0.02198678053993955,0.09779556876086704,0.20269208974794806,0.28597792564868113,0.12395727722799753
0.0990213230478233,0.10692467179565178,0.5987516442433148,0.26728681619685524,0.1696981769574677,0.029788228227042697,0.18034352718131097,0.025818825077447594,0.15303795409960247,0.11870602827956564,0.05532044398070788
0.10093946705883772,0.17287982224885048,0.3814179480351482,0.17265601994522323,0.21936335109442615,0.056336877178446196,0.10164767736335915,0.10277709198509995,0.02733359213623051,0.07042097346529963,0.24946441683191503
0.10028608432985701,0.10442273411529844,0.6252094898968201,0.20126345950607316,0.09665417928067561,0.10103455213231041,0.0670026163522753,0.19646783726654402,0.06841445232192167,0.16136308618696926,0.1077998169532306
0.0650457887109264,0.12379561526532759,0.24270478923288288,0.062016271480976874,0.2968419806242367,0.22158925130896115,0.0985543369103951,0.12324149470001756,0.015287097517640338,0.047885513654281564,0.1345840538034906
0.03847809884429269,0.07172429146222845,0.048492620469096234,0.12540561290664537,0.02901769238572647,0.380729168883885,0.0047047511572756665,0.13648146465773253,0.011820559897395787,0.30122745999329886,0.010613290118040228
0.05236102485792388,0.11669327802494278,0.14877484934661803,0.1395760309756032,0.016288212826440274,0.4084331274905625,0.052000435344007036,0.10563029581849089,0.08809872608288415,0.06025865337491169,0.12971451808710044
0.062456640266601124,0.10516558835160211,0.26108008044232883,0.06243347985970232,0.23121948238161333,0.00515032861935541,0.45211737461139795,0.06984334617975516,0.024875033979320175,0.04948718095049461,0.10487377341836099
0.07068402297261236,0.1040512396866132,0.34294663936813546,0.10822022990074788,0.226631851950032,0.24706735669649565,0.10265404744735536,0.1709168816684332,0.07297529903860223,0.012486849430571472,0.05904748386776222
0.1062346985166028,0.1740833506386634,0.40919880192598834,0.0302068517188025,0.20258897573134582,0.023517451265104242,0.13090027915311758,0.23350796529059858,0.013752762248999396,0.09753656446944396,0.2679891501225877
0.12041595058357867,0.1470835618087341,0.5807307732637903,0.06327227386118324,0.060350021478623284,0.08142663908364192,0.025253502219238746,0.022082472461167096,0.3809947181036528,0.29441439220081217,0.07220598059168072
0.02434743603076653,0.0943726770924091,-0.11287762832882822,0.02894117955398608,0.12025582059948181,0.3889863499361145,0.19389777426338084,0.04348767376817377,0.05924782230309998,0.0980106844472197,0.06717269512854328
0.047436721666323595,0.06461117063353332,0.19248562662427462,0.03507375743756536,0.03475812095740797,0.11722312112165077,0.37804598283598706,0.020744782950898745,0.12870788801660216,0.2840677342334133,0.0013786124464746125
0.029122472595343236,0.10457612446483483,-0.05620333928738358,0.06422919348521601,0.1577952669252797,0.26613542231018655,0.32981624972444046,0.039100525897714004,0.008263302752054107,0.03996312039982325,0.09469691850528576
0.0694824889378578,0.0885369370954419,0.3894700908919633,0.05354498401216398,0.08683573292122146,0.28694977877065286,0.00355364187875369,0.3592589004841573,0.0042758598304324935,0.1936392131674859,0.011941888935132473
0.11313880311816393,0.12809476941479203,0.6100077581242804,0.033876593710709495,0.061826631095342276,0.23025028044962162,0.022844351399414046,0.4113155458633311,0.23055646525319443,0.008384439907032734,0.0009456923213541722
0.026892161958376754,0.12457256525762993,-0.06508526195037678,0.01336899305300558,0.07674459979582188,0.48576314575311064,0.02796853533596303,0.11005275773162736,0.0066048615667715985,0.12294744228005978,0.15654966448364
0.09423590803716268,0.1634677633952662,0.3623705788029279,0.2181962634008834,0.22152211950975795,0.1619485302113915,0.00834523614513857,0.08110630747279772,0.042944143608082005,0.04610639769319,0.21983100195875882
0.11656528708275754,0.14789734691706383,0.5514993255997809,0.27531852967812404,0.1493917629523283,0.03213765068377278,0.1408382473497529,0.03671966020991402,0.18965211277424152,0.024714576340275123,0.15122746001159137
0.11684428316685078,0.12173702200686022,0.6723039698000713,0.06283960616113102,0.012493394626039139,0.1824721470525136,0.016783955239679748,0.5649737032528332,0.0871135858338973,0.04695355221492029,0.026370055618985696
0.11267456473812515,0.1690357520774432,0.45951559823000515,0.05555921778949606,0.10595220703171117,0.13528150717724843,0.066950878360577,0.2580162391049885,0.11817568977984613,0.01359042942294156,0.24647383133319098
0.0827551171085832,0.08353892330435694,0.5716510965145818,0.04516054190540356,0.38020814573578593,0.034691973616581225,0.058804154455124436,0.12817371756110857,0.008239754498298687,0.2945537605491777,0.05016795167851994
0.12951464759343514,0.2888478992171756,0.32721251513196076,0.05850763215626911,0.013698526149023015,0.005747852419714881,0.006578376878350022,0.08604313575628507,0.08239314370382728,0.23028993153400595,0.5167414014025246
0.07880433531801165,0.1016171806233775,0.43107213809014355,0.22692660571037493,0.2110349917538178,0.10718384138724822,0.18733973088155847,0.15494376245366348,0.010390852343718827,0.052004978515851945,0.050175236953766376
0.1134688085779639,0.2606605015029434,0.3010383549694729,0.011040839741181972,0.06570977555330018,0.008520621941914342,0.21609498535479388,0.22118906657920961,0.015476215823361629,0.012378782007809857,0.44958971299842854
0.11860374542414255,0.15079151327730422,0.5544326972194783,0.042095138661676725,0.09453876430908363,0.08248707978236103,0.17084975342491673,0.1390896002080228,0.3070830829707258,0.025295688122259515,0.13856089252095397
0.025137901288606376,0.10444684603749181,-0.09442217822310853,0.05463795639063123,0.09087984469382898,0.5269191683352067,0.06880004442401368,0.1499008417072648,0.08139129474188506,0.024974263496596923,0.0024965862105725024
