date,portfolio,realised_loss,var_99,exception
2022-05-26,Max Sharpe,-0.0003584327170671115,0.008169301085269327,0
2022-05-27,Max Sharpe,-0.0014944845741231491,0.008169301085269327,0
2022-05-31,Max Sharpe,-1.9200373519673232e-05,0.008169301085269327,0
2022-06-01,Max Sharpe,-0.0031357224479143073,0.008169301085269327,0
2022-06-02,Max Sharpe,-0.0013205755889119336,0.008169301085269327,0
2022-06-03,Max Sharpe,0.0020240056804371044,0.008169301085269327,0
2022-06-06,Max Sharpe,-0.001493700469460736,0.008169301085269327,0
2022-06-07,Max Sharpe,-0.002160324398326555,0.008169301085269327,0
2022-06-08,Max Sharpe,0.0005390768361623823,0.008169301085269327,0
2022-06-09,Max Sharpe,0.0001981575082796302,0.008169301085269327,0
2022-06-10,Max Sharpe,-0.002498289050874186,0.008169301085269327,0
2022-06-13,Max Sharpe,0.011238594523937221,0.008169301085269327,1
2022-06-14,Max Sharpe,0.002143553081171752,0.010005859029024287,0
2022-06-15,Max Sharpe,-0.0008812549378027076,0.010005859029024287,0
2022-06-16,Max Sharpe,0.009167911708208212,0.010005859029024287,0
2022-06-17,Max Sharpe,-0.0029972714472970272,0.010223959944229987,0
2022-06-21,Max Sharpe,-0.00034507282716950615,0.010223959944229987,0
2022-06-22,Max Sharpe,0.0018617970223347934,0.010223959944229987,0
2022-06-23,Max Sharpe,-0.0007778668367505759,0.010223959944229987,0
2022-06-24,Max Sharpe,-0.003660300772511575,0.010223959944229987,0
2022-06-27,Max Sharpe,0.0020785918545148216,0.010223959944229987,0
2022-06-28,Max Sharpe,-0.0007512624700572556,0.010223959944229987,0
2022-06-29,Max Sharpe,-0.0023334736000077357,0.010223959944229987,0
2022-06-30,Max Sharpe,0.005154114331717488,0.010223959944229987,0
2022-07-01,Max Sharpe,-0.002750641528338575,0.010223959944229987,0
2022-07-05,Max Sharpe,-0.0014676307271034056,0.010223959944229987,0
2022-07-06,Max Sharpe,0.0006317768434581986,0.010223959944229987,0
2022-07-07,Max Sharpe,-0.0043055647669021785,0.010223959944229987,0
2022-07-08,Max Sharpe,-0.00027279096273821177,0.010223959944229987,0
2022-07-11,Max Sharpe,-0.00176600027919648,0.010223959944229987,0
2022-07-12,Max Sharpe,0.003957466898301941,0.010223959944229987,0
2022-07-13,Max Sharpe,-0.0005323235556257357,0.010223959944229987,0
2022-07-14,Max Sharpe,1.147193941959928e-05,0.010223959944229987,0
2022-07-15,Max Sharpe,0.0006387650778166797,0.010223959944229987,0
2022-07-18,Max Sharpe,0.001222160994106053,0.010223959944229987,0
2022-07-19,Max Sharpe,-0.0019137411358061034,0.010223959944229987,0
2022-07-20,Max Sharpe,0.0005599097717317863,0.010223959944229987,0
2022-07-21,Max Sharpe,-0.0025563028301790443,0.010223959944229987,0
2022-07-22,Max Sharpe,0.0017353501389057305,0.010223959944229987,0
2022-07-25,Max Sharpe,0.0018191020040418558,0.010223959944229987,0
2022-07-26,Max Sharpe,-0.0019417198005953567,0.010223959944229987,0
2022-07-27,Max Sharpe,-0.003360297529551864,0.010223959944229987,0
2022-07-28,Max Sharpe,-0.0044032086393125,0.010223959944229987,0
2022-07-29,Max Sharpe,-0.0006755273629782638,0.010223959944229987,0
2022-08-01,Max Sharpe,0.0023463733299763424,0.010223959944229987,0
2022-08-02,Max Sharpe,-0.0005751054294219646,0.010223959944229987,0
2022-08-03,Max Sharpe,-0.003258451442750142,0.010223959944229987,0
2022-08-04,Max Sharpe,0.0005338179170544562,0.010223959944229987,0
2022-08-05,Max Sharpe,-0.002154507501108685,0.010223959944229987,0
2022-08-08,Max Sharpe,-0.0021924898814530496,0.010223959944229987,0
2022-08-09,Max Sharpe,0.0012395228757083156,0.010223959944229987,0
2022-08-10,Max Sharpe,0.002732701156841763,0.010223959944229987,0
2022-08-11,Max Sharpe,-0.0001773799428696868,0.010223959944229987,0
2022-08-12,Max Sharpe,-0.006398480521193729,0.010223959944229987,0
2022-08-15,Max Sharpe,-0.0013962764713036334,0.010223959944229987,0
2022-08-16,Max Sharpe,0.0011916431457160322,0.010223959944229987,0
2022-08-17,Max Sharpe,0.0021067962852731655,0.010223959944229987,0
2022-08-18,Max Sharpe,-0.0044660782950124425,0.010223959944229987,0
2022-08-19,Max Sharpe,0.0024021135901016117,0.010223959944229987,0
2022-08-22,Max Sharpe,-0.0010388368947405776,0.010223959944229987,0
2022-08-23,Max Sharpe,0.0002807868293928967,0.010223959944229987,0
2022-08-24,Max Sharpe,-0.0015453374774631711,0.010223959944229987,0
2022-08-25,Max Sharpe,-0.0014861575316283972,0.010223959944229987,0
2022-08-26,Max Sharpe,0.00661080567178603,0.010223959944229987,0
2022-08-29,Max Sharpe,-0.0003018584723418704,0.010223959944229987,0
2022-08-30,Max Sharpe,0.004783561291327743,0.010223959944229987,0
2022-08-31,Max Sharpe,0.0037583803583259075,0.010223959944229987,0
2022-09-01,Max Sharpe,-0.0020226647447865076,0.010223959944229987,0
2022-09-02,Max Sharpe,-0.0008455449496560664,0.010223959944229987,0
2022-09-06,Max Sharpe,-0.00011215888395926267,0.010223959944229987,0
2022-09-07,Max Sharpe,0.00022808425583767996,0.010223959944229987,0
2022-09-08,Max Sharpe,-0.0005881174835162884,0.010223959944229987,0
2022-09-09,Max Sharpe,-0.002779153547257095,0.010223959944229987,0
2022-09-12,Max Sharpe,-0.001105420342984562,0.010223959944229987,0
2022-09-13,Max Sharpe,0.0030948794728023147,0.010223959944229987,0
2022-09-14,Max Sharpe,0.0012793400110239464,0.010223959944229987,0
2022-09-15,Max Sharpe,0.006792919432247368,0.010223959944229987,0
2022-09-16,Max Sharpe,-0.0002901725634948322,0.010223959944229987,0
2022-09-19,Max Sharpe,-0.0004883576633386661,0.010223959944229987,0
2022-09-20,Max Sharpe,0.0016137950791849766,0.010223959944229987,0
2022-09-21,Max Sharpe,-0.003921752457650679,0.010223959944229987,0
2022-09-22,Max Sharpe,-0.000498202991747129,0.010223959944229987,0
