date,adjusted_close
2021-05-28,392.3101806640625
2021-06-01,391.9647216796875
2021-06-02,392.5810546875
2021-06-03,391.1240539550781
2021-06-04,394.7012023925781
2021-06-07,394.31817626953125
2021-06-08,394.40234375
2021-06-09,393.81390380859375
2021-06-10,395.64459228515625
2021-06-11,396.29833984375
2021-06-14,397.18560791015625
2021-06-15,396.45709228515625
2021-06-16,394.24346923828125
2021-06-17,394.1127624511719
2021-06-18,388.79608154296875
2021-06-21,394.362060546875
2021-06-22,396.4703674316406
2021-06-23,395.99249267578125
2021-06-24,398.3350830078125
2021-06-25,399.75
2021-06-28,400.5558166503906
2021-06-29,400.7713928222656
2021-06-30,401.1087951660156
2021-07-01,403.32952880859375
2021-07-02,406.41241455078125
2021-07-06,405.6720886230469
2021-07-07,407.1058044433594
2021-07-08,403.7886962890625
2021-07-09,408.0990295410156
2021-07-12,409.560791015625
2021-07-13,408.1646423339844
2021-07-14,408.7736511230469
2021-07-15,407.37750244140625
2021-07-16,404.1821594238281
2021-07-19,398.21331787109375
2021-07-20,403.9197998046875
2021-07-21,407.190185546875
2021-07-22,408.0428466796875
2021-07-23,412.2406921386719
2021-07-26,413.2527160644531
2021-07-27,411.36932373046875
2021-07-28,411.20062255859375
2021-07-29,412.9059753417969
2021-07-30,410.90081787109375
2021-08-02,410.0387268066406
2021-08-03,413.37457275390625
2021-08-04,411.3411865234375
2021-08-05,413.9461669921875
2021-08-06,414.63018798828125
2021-08-09,414.2928161621094
2021-08-10,414.80828857421875
2021-08-11,415.8389892578125
2021-08-12,417.0852355957031
2021-08-13,417.8442687988281
2021-08-16,418.828125
2021-08-17,416.08258056640625
2021-08-18,411.5285339355469
2021-08-19,412.1658020019531
2021-08-20,415.4454040527344
2021-08-23,419.099853515625
2021-08-24,419.7651672363281
2021-08-25,420.64599609375
2021-08-26,418.1628112792969
2021-08-27,421.90155029296875
2021-08-30,423.7570495605469
2021-08-31,423.12908935546875
2021-09-01,423.35400390625
2021-09-02,424.6565246582031
2021-09-03,424.5534362792969
2021-09-07,423.035400390625
2021-09-08,422.52001953125
2021-09-09,420.7115478515625
2021-09-10,417.3945007324219
2021-09-13,418.462646484375
2021-09-14,416.2044372558594
2021-09-15,419.68084716796875
2021-09-16,419.0155334472656
2021-09-17,414.9338684082031
2021-09-20,408.0152282714844
2021-09-21,407.6297302246094
2021-09-22,411.6061706542969
2021-09-23,416.6072082519531
2021-09-24,417.2934265136719
2021-09-27,416.0995178222656
2021-09-28,407.71441650390625
2021-09-29,408.4006042480469
