date,adjusted_close
2021-05-28,20.880083084106445
2021-06-01,20.845596313476562
2021-06-02,20.845596313476562
2021-06-03,20.97491455078125
2021-06-04,20.89732551574707
2021-06-07,20.86284065246582
2021-06-08,20.888702392578125
2021-06-09,20.905946731567383
2021-06-10,20.888702392578125
2021-06-11,20.992155075073242
2021-06-14,20.97491455078125
2021-06-15,20.992155075073242
2021-06-16,21.164575576782227
2021-06-17,21.3283748626709
2021-06-18,21.3973445892334
2021-06-21,21.29388999938965
2021-06-22,21.25940704345703
2021-06-23,21.29388999938965
2021-06-24,21.276649475097656
2021-06-25,21.2852725982666
2021-06-28,21.29388999938965
2021-06-29,21.345617294311523
2021-06-30,21.405961990356445
2021-07-01,21.466310501098633
2021-07-02,21.380102157592773
2021-07-06,21.45768928527832
2021-07-07,21.49217414855957
2021-07-08,21.405961990356445
2021-07-09,21.35424041748047
2021-07-12,21.380102157592773
2021-07-13,21.509416580200195
2021-07-14,21.405961990356445
2021-07-15,21.466310501098633
2021-07-16,21.49217414855957
2021-07-19,21.52665901184082
2021-07-20,21.552520751953125
2021-07-21,21.500795364379883
2021-07-22,21.52665901184082
2021-07-23,21.5352783203125
2021-07-26,21.466310501098633
2021-07-27,21.431827545166016
2021-07-28,21.37148094177246
2021-07-29,21.29388999938965
2021-07-30,21.35424041748047
2021-08-02,21.3283748626709
2021-08-03,21.336994171142578
2021-08-04,21.37148094177246
2021-08-05,21.37148094177246
2021-08-06,21.49217414855957
2021-08-09,21.5352783203125
2021-08-10,21.552520751953125
2021-08-11,21.509416580200195
2021-08-12,21.5352783203125
2021-08-13,21.431827545166016
2021-08-16,21.449068069458008
2021-08-17,21.578384399414062
2021-08-18,21.578384399414062
2021-08-19,21.68183708190918
2021-08-20,21.655975341796875
2021-08-23,21.52665901184082
2021-08-24,21.509416580200195
2021-08-25,21.49217414855957
2021-08-26,21.552520751953125
2021-08-27,21.45768928527832
2021-08-30,21.45768928527832
2021-08-31,21.45768928527832
2021-09-01,21.41458511352539
2021-09-02,21.362857818603516
2021-09-03,21.319753646850586
2021-09-07,21.423206329345703
2021-09-08,21.45768928527832
2021-09-09,21.405961990356445
2021-09-10,21.440448760986328
2021-09-13,21.440448760986328
2021-09-14,21.440448760986328
2021-09-15,21.3973445892334
2021-09-16,21.49217414855957
2021-09-17,21.56976318359375
2021-09-20,21.578384399414062
2021-09-21,21.561141967773438
2021-09-22,21.62148666381836
2021-09-23,21.5352783203125
2021-09-24,21.595624923706055
2021-09-27,21.62148666381836
2021-09-28,21.699077606201172
2021-09-29,21.85425567626953
2021-09-30,21.819772720336914
2021-10-01,21.77666664123535
2021-10-04,21.707700729370117
2021-10-05,21.750804901123047
2021-10-06,21.81114959716797
2021-10-07,21.802532196044922
2021-10-08,21.785287857055664
2021-10-11,21.84563446044922
2021-10-12,21.87150001525879
2021-10-13,21.750804901123047
