date,adjusted_close
2021-05-28,117.24803924560547
2021-06-01,117.2218017578125
2021-06-02,117.49314880371094
2021-06-03,117.0521469116211
2021-06-04,118.65510559082031
2021-06-07,118.29045867919922
2021-06-08,119.12157440185547
2021-06-09,120.17327117919922
2021-06-10,120.89421081542969
2021-06-11,120.69913482666016
2021-06-14,119.77465057373047
2021-06-15,119.63050842285156
2021-06-16,119.52867889404297
2021-06-17,121.31828308105469
2021-06-18,123.59976196289062
2021-06-21,121.53028869628906
2021-06-22,121.82717895507812
2021-06-23,121.51335144042969
2021-06-24,121.70842742919922
2021-06-25,120.44468688964844
2021-06-28,121.6829833984375
2021-06-29,121.88655853271484
2021-06-30,122.42939758300781
2021-07-01,122.4361572265625
2021-07-02,123.17496490478516
2021-07-06,124.6187744140625
2021-07-07,125.72274780273438
2021-07-08,126.21527862548828
2021-07-09,124.44033813476562
2021-07-12,124.27902221679688
2021-07-13,123.32785034179688
2021-07-14,124.72914123535156
2021-07-15,126.1048812866211
2021-07-16,125.8670654296875
2021-07-19,128.62718200683594
2021-07-20,127.38724517822266
2021-07-21,125.77369689941406
2021-07-22,126.96261596679688
2021-07-23,126.11335754394531
2021-07-26,125.73974609375
2021-07-27,127.08147430419922
2021-07-28,127.0899887084961
2021-07-29,126.3851547241211
2021-07-30,126.97960662841797
2021-08-02,128.11216735839844
2021-08-03,128.1802215576172
2021-08-04,128.44383239746094
2021-08-05,127.78904724121094
2021-08-06,125.65483093261719
2021-08-09,125.20425415039062
2021-08-10,124.62600708007812
2021-08-11,124.54951477050781
2021-08-12,124.34550476074219
2021-08-13,126.30964660644531
2021-08-16,126.61578369140625
2021-08-17,126.5647201538086
2021-08-18,126.9898452758789
2021-08-19,127.92510223388672
2021-08-20,128.0101318359375
2021-08-23,127.92510223388672
2021-08-24,126.93028259277344
2021-08-25,125.87592315673828
2021-08-26,126.22457122802734
2021-08-27,127.08338928222656
2021-08-30,127.41494750976562
2021-08-31,126.54764556884766
2021-09-01,126.75967407226562
2021-09-02,127.31305694580078
2021-09-03,126.15521240234375
2021-09-07,125.09095001220703
2021-09-08,125.94234466552734
2021-09-09,127.46627044677734
2021-09-10,126.34246826171875
2021-09-13,127.10871887207031
2021-09-14,128.649658203125
2021-09-15,128.1984405517578
2021-09-16,127.61102294921875
2021-09-17,126.9980239868164
2021-09-20,128.5730743408203
2021-09-21,128.4623565673828
2021-09-22,129.2285919189453
2021-09-23,126.30841827392578
2021-09-24,125.07392120361328
2021-09-27,124.61421203613281
2021-09-28,122.67315673828125
2021-09-29,122.88594055175781
2021-09-30,122.868896484375
2021-10-01,123.90299224853516
2021-10-04,123.5875244140625
2021-10-05,122.39408874511719
2021-10-06,123.08460998535156
2021-10-07,121.79743194580078
2021-10-08,120.94500732421875
2021-10-11,120.63804626464844
2021-10-12,122.70099639892578
2021-10-13,123.8944320678711
2021-10-14,124.35472869873047
2021-10-15,123.63017272949219
2021-10-18,124.2098617553711
2021-10-19,122.49641418457031
2021-10-20,121.66951751708984
2021-10-21,121.52458190917969
